Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000006267,317,9,Department of Health and Human Services,FDA OC-OIM Operational Infrastructure,2178,FDA OC-OIM Operational Infrastructure Oracle 11G Upgrade,"The Oracle Database Upgrade Project is being undertaken to upgrade all development, test, pre-production and production oracle databases from the current version, 10g, to the target version, 11g.  Oracle has discontinued standard support for version 10g, and the FDA is currently paying for extended support, which will no longer be available after July 2013. This project is necessary to allow the FDA to continue to receive technical support, as well as to take advantage of the technical enhancements in both the applications development and database administration functional areas.",01/03/2011,31/07/2013,,,7.951,-92,-20.13,0.052,0.65,7.951,7.899,26/04/2012,10:51:04,295683
009-000006267,317,9,Department of Health and Human Services,FDA OC-OIM Operational Infrastructure,2179,FDA OC-OIM Operational Infrastructure: Windows 7 Upgrade,"FDA's current Windows Suite is Microsoft Office Professional 2003 SP3. Mainstream support for both Windows XP Professional and Microsoft Office Professional 2003 ended April 14, 2009, extended support ends April 8, 2014. This project team will create an image with Windows 7 64-bit Enterprise and Microsoft Office 2010 32-bit. The project team will create the image and coordinate with stakeholders to test and mitigate issues. The project team will coordinate with the training team to provide training and update training material, and will work with the PC Refresh team to create a deployment plan for computers with the new image.",01/09/2010,01/10/2012,,,1.893,31,4.07,-0.283,-18.21,1.554,1.837,26/04/2012,10:51:04,295951
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2038,FDA ORA RBIS Center and External Integration,"This deals with some of the integration points that RBIS has with systems outside of the program. In particular, this will improve integration with MARCS Center Views and Standardized Evidence and Reference Services (SERS) and ORADSS.  It will also implement integration with MARCS Predictive Risk-based Evaluation and Dynamic Import Compliance Targeting (PREDICT) with FMLS.",18/07/2011,31/05/2012,31/05/2012,31/05/2012,0.507,0,0,0.025,4.93,0.507,0.482,23/07/2012,09:41:06,287623
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2039,"FDA ORA RBIS Data Warehouse, Data Marts, and Universes","The Online Reporting Analysis and Decision Support System (ORADSS) within RBIS contains a Data Warehouse (DW) at its core.  This provides access to historical data from a number of systems, such as MARCS. The DW further contains a reporting database that retains the schema from the Online Transaction Processing (OLTP) database from which information was originated. The DW has information in it that has been transformed into a star schema so that it is a Decision Support System (DSS). In addition, for some user communities, it is much more effective for them to only have to deal with a subset of all of the data in the DW. For such user communities, ORADSS has a number of Data Marts (DM) that certain designated users can use for querying. These are also used to support universes for reporting. ORADSS uses a COTS, Business Objects (BO), as a reporting tool. BO utilizes universes as a meta-data layer that allows for an abstraction of the underlying schema, table names, row names, and data types so that non technical users can access this data more easily. The universe structures may then be used to build reports. End users typically interact with the reports, but there are a number of end users who need to delve more deeply into the data than is allowed by a report. These users may access the DW, DMs, or universes directly depending on their particular needs. This project specifically focuses on providing better data availability for compliance users, MARCS Predictive Risk-based Evaluation and Dynamic Import Compliance Targeting (PREDICT), and an organizational group in ORA that tracks resources and conducts work force planning.",02/06/2011,24/10/2011,24/10/2011,31/10/2011,0.584,-7,-4.86,0.014,2.4,0.584,0.57,26/04/2012,10:50:59,287707
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2040,FDA ORA RBIS Firm Master List Services (FMLS) Enhancements,"FMLS in RBIS is closely aligned with Firm Management Services (FMS) in MARCS. FMLS does the back end heavy lifting work for managing firm information. This includes receiving firm information from registration and listing from the FDA Unified Registration and Listing System (FURLS). FURLS is being partially replaced by eLIST. FMLS will integrate with eLIST (no acronym). The firm data is built around Firm Establishment Identifiers (FEIs). These define a location and a product or a set of products. A large company may have multiple FEIs if it has multiple physical locations and/or produces different products that are regulated by FDA. This information is always changing as firms and market conditions change.  In addition, foreign firms that do not use a Latin alphabet present a particular problem as words can be transliterated into English in different ways. If this is left unchecked, it causes a proliferation of FEIs that are not all that useful in identifying what firm is what. To address this, FMLS employs Dataflux, a COTS, in implementing survivorship rules that are used to clean up this firm data and consolidate and remove FEIs. FMLS is also being integrated with Dunn and Bradstreet (DnB). DnB has one of the largest and most reliable databases on businesses in the world. This is being leveraged to improve the quality of firm information, especially that related to foreign firms. This project focuses primarily on integrating with eLIST, improving survivorship rules and their application, and integrating with DnB. This provides MARCS FMS with access to higher quality data in regards to firms, which is used throughout the ORA regulatory work flows.",15/08/2011,30/05/2012,30/05/2012,30/05/2012,0.316,-93,-32.18,-0.023,-7.28,0.316,0.339,26/04/2012,10:50:59,287708
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2041,FDA ORA RBIS Report Development Support,"The Online Reporting Analysis and Decision Support System (ORADSS) contains well over a thousand reports. This project will undertake a review of these reports to see what can be consolidated. In addition, it will provide a number of new reports to users. The types and number of reports is continually changing as the needs of users changes. ORADSS provides historical information and reporting capabilities to Mission Accomplishments and Regulatory Compliance Services (MARCS).  Essentially, this makes every user of MARCS a user of ORADSS. As MARCS continues to build towards a unified data structure, this will require changes in ORADSS in order to provide historical information and reporting capabilities. These changes in MARCS will result in a number of changes to reports on the ORADSS side. In addition, ORADSS will also provide historical information and reporting capabilities for the Automated Laboratory Management (ALM) Laboratory Management Information System (LIMS). LIMS is planning to produce pilots in FY12. This project will also lay the groundwork for providing reports for LIMS users.",12/09/2011,11/09/2012,11/09/2012,11/09/2012,2.085,0,0,-1.506,-72.23,2.085,3.591,23/07/2012,09:41:06,287709
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2042,FDA ORA RBIS Data Evaluation and Recommendations,"RBIS has grown organically over time. With the recently awarded contract that places RBIS under one contractor, the changes in Mission Accomplishments and Regulatory Compliance Services (MARCS), and the expected addition of Automated Laboratory Management (ALM) Laboratory Information Management System (LIMS), it is time to review the design of RBIS. This project will conduct a full review of the technical structure and implementation of the Online Reporting Analysis and Decision Support System (ORADSS) and Firm Master List Services (FMLS). RBIS provides the historical information, reporting capabilities, and firm information that are needed by MARCS and ALM. Changes in MARCS and ALM need to be accommodated in RBIS in order to provide end user functionality. This project will provide recommendations to the Government as to how to best restructure RBIS to handle expected future growth. This will also result in a road map to align RBIS future development with MARCS and ALM.",12/09/2011,30/04/2012,30/04/2012,30/04/2012,0.275,0,0,-0.028,-10.18,0.275,0.303,28/06/2012,07:59:12,287710
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2043,FDA ORA RBIS Data Availability,"This project focuses primarily on the RBIS Online Reporting Analysis and Decision Support System (ORADSS) and provides for changes to support Mission Accomplishments and Regulatory Compliance Services (MARCS) and Automated Laboratory Management (ALM). ORADSS provides historical information and reporting capabilities to MARCS and ALM. As MARCS continues to build towards a unified data structure, this will require changes in ORADSS in order to provide historical information and reporting capabilities. These changes in MARCS will result in a number of changes to reports on the ORADSS side. In addition, ORADSS will also provide historical information and reporting capabilities for the ALM Laboratory Management Information System (LIMS) and the ALM Quality Management Information System (QMiS). This will also provide for improvements in mapping capabilities regarding firm information. This will result in changes within ORADSS to the Data Warehouse (DW), many of the Data Marts (DMS), universes, and reports. ORADSS uses the COTS Business Objects as the basis for universe and reporting functionality.",12/09/2011,11/09/2012,,,1.635,0,0,-0.717,-43.85,1.635,2.352,23/07/2012,09:41:06,287721
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2044,FDA ORA RBIS Data Quality,"This project focuses primarily on Firm Master List Services (FMLS). This includes additional Center integration, gray area resolution, additional support for Dunn and Bradstreet (DnB) integration, and improved integration with  Mission Accomplishments and Regulatory Compliance Services (MARCS) Predictive Risk-based Evaluation and Dynamic Import Compliance Targeting (PREDICT) for validating firm information. FDA receives much firm information via Center systems, including FDA Unified Registration and Listing System (FURLS) and eLIST (no acronym). This will focusing on improving and automating more of this information transfer. Gray area resolution is used to resolve uncertainties regarding firm information when the survivorship rules used in FMLS do not produce a clear resolution. Survivorship rules are implemented via the COTS Dataflux and are an automated way to correct firm data, merge, unmerge, and delete Firm Establishment Identifiers (FEI). Manual gray area resolution is performed to tweak survivorship rules and manually resolve information discrepancies. DnB integration will be expanded, including a review of the current firm inventory in ORA and matching these against DnB information to produce a confidence level from 1 to 10 (10 is highest confidence) to support estimating the risk associated with a firm based on the quality of firm information. This will be used to support risk based decisions such as used for import screening. The method used to validate firm information from Customs and Border Protection (CBP) that is then used by PREDICT in import screening will be modified to improve this, reduce latency, reduce uncertainty, and reduce reprocessing. FMLS in RBIS is closely aligned with Firm Management Services (FMS) in MARCS. FMLS does the back end heavy lifting work for managing firm information. As FMS is modified, FMLS will also be modified to support expanded functionality for MARCS users.",12/09/2011,11/09/2012,,,0.582 ($m),0,0,-0.228,-39.18,0.582,0.81,23/07/2012,09:41:07,287722
009-000005323,322,9,Department of Health and Human Services,FDA OC User Fee and Financial Reporting Systems,2221,FDA OC User Fee System Enhancements,"The User Fee System (UFS) processes accounts receivable for user fee invoicing, collections, and detail reporting.  UFS is a mission critical system that is in production. Approximately 75% of its annual budget is for operations and maintenance. The remainder is budgeted for enhancements. Enhancements response to  include Legislative actions related to User Fees,  changes in the user fee regulations which require corresponding adjustments in the system, major technical upgrades to maintain licenses or respond to CHDC requirements , changes required to adapt to modifications in UFMS that affect USF data imports or exports, or changes as a result of user request or additional functional requirements from within the FDA user community.  The UFS support contract has an IDIQ component with a ceiling of 1500 per year that can be used for these enhancements using an abbreviated version of the EPLC.",01/09/2002,30/09/2019,,,127.127,0,0,-1.36,-10.92,12.454,13.814,26/07/2012,10:07:56,283663
009-000005323,322,9,Department of Health and Human Services,FDA OC User Fee and Financial Reporting Systems,2222,FDA OC Hyperion Planning System,"FDA's Hyperion Planning  system captures User Fee data at a summarized level, rather than at an individual transaction level.  It is used to project the impact of User Fees on FDA budgets, obligations, and expenditures including:  1) Annual budgets for each component of the FDA; 2) Allowance amounts issued to date; and iii) Transfers of funds between all FDA components.  Hyperion is a mission critical system that is in production. Approximately 75% of its annual budget is for operations and maintenance. The remainder is budgeted for enhancements.  Enhancements include response to Legislative actions related to User Fees, changes in the user fee regulations which require corresponding adjustments in the system, major technical upgrades to maintain licenses or respond to CHDC requirements, changes required to adapt to modifications in UFMS that affect Hyperion data imports or exports, or changes as a result of user request such as new reporting requirements to respond to internal business or administrative requirements from within the FDA user community.  The Hyperion support contract has an IDIQ component with a ceiling of .340 Million per year that can be used for these enhancements using an abbreviated version of the EPLC.",15/08/2004,30/09/2019,,,38.737,0,0,-0.077,-4.42,1.744,1.821,26/07/2012,10:07:56,283941
009-000005323,322,9,Department of Health and Human Services,FDA OC User Fee and Financial Reporting Systems,2223,FDA OC Business Intelligence Reporting System,"The Business Intelligence Reporting System (BIRS) is a mission critical system that is in production. Approximately 75% of its annual budget is for operations and maintenance. The remainder is budgeted for enhancements.  Enhancements include response to Legislative actions related to User Fees, changes in the user fee regulations which require corresponding adjustments in the system, major technical upgrades to maintain licenses or respond to CHDC requirements, changes required to adapt to modifications in UFMS that affect Hyperion data imports or exports, or changes as a result of user request such as new reporting requirements to respond to internal business or administrative requirements from within the FDA user community.  BIRS support contract has an IDIQ component with a ceiling of .340 Million per year that can be used for these enhancements using an abbreviated version of the EPLC. The first IDIQ task planned to be awarded with FY11 monies is to improve the current OBIEE data warehouse by adding Payable Analytics, and to make some planning capabilities currently in Hyperion available in the OBIEE environment that supports BIRS.  This enhancement will include an OBIEE presentation layer for Hyperion and 10 to 12 dashboard reports.",01/10/2007,30/09/2019,,,24.113,-15,-0.9,-0.013,-0.73,1.793,1.806,26/07/2012,10:07:56,284598
009-999991400,330,9,Department of Health and Human Services,Federal Health Architecture,2197,Federal Health Architecture Implementation,"In 2004, the Federal Health Architecture (FHA) Program was established as an OMB line of business (LoB) to support Federal activities related to the development and adoption of Health IT standards, ensuring that agencies seamlessly and securely exchange health data with other agencies, other government entities, and with other public and private organizations. In 2006, Executive Order 13410 required healthcare programs administered or sponsored by the Federal government to promote quality and efficient delivery through the use of health information technology. HHS was tasked with developing a program to assist agencies to meet EO 13410 and monitor their progress. Subsequently, the Office of the National Coordinator for Health Information Technology (ONC) was established.   The FHA is a partnership among Federal Agencies and the OMB, and managed by ONC with HHS, acting as the Managing Partner, along with the Department of Defense and the Department of Veterans Affairs, acting as Lead Partners, provides funding for the program. These agencies collaborate to advance health information interoperability between Federal Agencies, and between agencies and the tribal, state, local and private sectors.  Through the FHA program, Federal Agencies have joined together to rapidly and efficiently implement government-wide solutions for interoperable and secure health information exchange that address agency business priorities, while protecting citizen privacy. FHA serves the needs of more than 20 Federal Agencies in domains as diverse as military and veterans' healthcare, public health monitoring, long-term care and disability services, research, tribal health services and many other critical Federal priorities.",30/04/2004,30/09/2014,30/09/2012,30/09/2012,65.007,0,0,0.165,2.14,7.71,7.545,23/07/2012,09:40:56,288883
009-000001397,332,9,Department of Health and Human Services,HHS Unified Financial Management System: Modernization Program,2224,Dashboard and Business Intelligence (Crawl/Walk/Run),"The Dashboard and Business Intelligence project addresses the gap identified during the UFMS Deep Dive Assessment to improve reporting and decision support across HHS OpDivs and StaffDivs.  This was a key short-term, high-impact recommendation specified in the UFMS Deep Dive Assessment Final Report; it received the highest priority rating from points of contact for UFMS OpDiv and StaffDiv stakeholders for projects to be pursued.  The scope of this project is to (1) define an HHS-wide reporting strategy, and (2) to implement Oracle's Business Intelligence Enterprise Edition (OBIEE) and address this business need for users of UFMS.  This project heavily leverages work performed by FDA on their OBIEE pilot.  This involved implementation of OBIEE Plus for use by approximately 50 seat licenses; configuration of extract, transform, and load (ETL) routines to load FDA data from UFMS and to address Oracle Descriptive FlexFields (DFFs); and enhancement and development of dashboards and reports to meet FDA specific business needs.  These configurations and enhancements can be adjusted to enable rapid development and delivery of a global UFMS data warehouse for use with OBIEE.  Program data can be integrated either through individual data warehouses for each set of books (SOB), or loaded into the single central warehouse.  While our preliminary analysis indicates a hybrid approach that shares a central financial data warehouse with OpDiv-specific program data warehouses as most likely the best fit architecture for OpDiv business needs, the detailed OBIEE needs assessment work that is being planned by the UFMS Program Management Office (PMO) will determine the specific details of the go-forward solution.  This solution seeks not only to improve reporting and decision support, but also to consolidate the large number of disparate reporting systems used across the Department that provide redundant capabilities today.  From an application architecture perspective, the dashboard and reporting solution will integrate with:*         Oracle E-Business Suite (EBS) applications that form the COTS foundation of UFMS*         Consolidated Financial Reporting System (CFRS)*         The budget solution that is a part of this modernization program*         Departmental e-Budgeting System (DEBS)*         Other program data and warehouses with which the financial data will be tied to facilitate improved reporting and decision support.",30/09/2011,31/05/2014,,,10.95,0,0,0,0,10.95,10.95,26/04/2012,10:50:51,302739
009-000001397,332,9,Department of Health and Human Services,HHS Unified Financial Management System: Modernization Program,2225,Expansion of Budget Tools (Crawl/Walk/Run),"This project leverages the already complete implementation of Hyperion budget tools at FDA, with a roll-out to benefit all the OpDivs within HHS.  The project includes incorporating additional functionality in the system that supports the lifecycle management of budgets - from formulation through execution.  However, as the HHS the Office of is in early planning stages seeking to implement the Departmental e-Budgeting System (DEBS) as a Department-wide budget formulation tool, this effort will focus on the budget planning through budget execution functions with an interface to DEBS and integration with UFMS.  Improvement in this area directly affects audit material weaknesses related to budgetary analysis,[1] such as reducing manual entries and facilitating compliance with the Anti-Deficiency Act (ADA).  This also addresses a common sentiment among the user groups that UFMS is an accounting system rather than a financial management system.The Hyperion Performance-Based Budgeting Solution provides an enterprise-level solution for budget formulation, execution, and distribution, which eliminates the need for multiple spreadsheets, separate feeder applications, and numerous individual processes.  This will allow users to spend less time reconciling data and more time analyzing and planning, provides for more accurate reports to OMB, the ability to monitor and measure agency performance against agency goals, provides security and audit trails, and offers a variety of statements and reports.  This solution seeks to replace cuff systems that are currently used by budget staff across HHS agencies to meet the functionality gap that exists today.  From an application architecture perspective, the budget solution will integrate with:*         Departmental e-Budgeting System (DEBS) *         Oracle E-Business Suite (EBS) applications that form the Commercial Off-The Shelf (COTS) foundation of UFMS*         Consolidated Financial Reporting System (CFRS)The Dashboard and HHS-Wide Reporting solution that is a part of this modernization program.",30/09/2011,31/07/2014,,,6.475,0,0,0,0,6.475,6.475,26/04/2012,10:50:51,302761
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2087,EHB - Awards Streamlining,Streamline the system's process to award grants.,16/03/2011,31/05/2011,31/05/2011,31/05/2011,0.075,0,0,0,0,0.075,0.075,26/04/2012,06:07:54,284973
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2088,EHB - UI Upgrade Phase II,"Provide a new User Interface for EHBs, while updating the system code to a recent version of Microsoft's .NET platform.",27/05/2011,16/09/2012,13/09/2012,28/09/2012,4.56,-15,-3.16,-0.254,-5.57,4.56,4.814,23/07/2012,09:40:53,284982
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2089,EHB - Applications CCR Validation,This project creates a web services integration with the CCR database to simplify identification processes.,05/01/2012,31/05/2012,31/05/2012,29/06/2012,0.26,-29,-19.73,-0.055,-21.15,0.26,0.315,23/07/2012,09:40:53,285000
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2090,EHB - Planning Module Upgrade,This project will upgrade planning module to identify a streamlined process for the grants lifecycle.,01/02/2012,31/08/2012,31/08/2012,06/08/2012,0.44,0,0,-0.235,-53.41,0.44,0.675,23/07/2012,09:40:53,285001
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2091,EHB - Closeout Module Upgrade Phase I,This project will upgrade closeout processing functionality to receive property and equipment tracking forms from grantees.,01/07/2012,30/09/2012,,,0.12,0,0,0,0,0.12,0.12,26/04/2012,06:07:54,285021
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2092,EHB - Closeout Module Upgrade Phase II,This project will upgrade closeout process functionality to allow grantees to submit property and equipment lien inquiries for resolution.,01/05/2012,30/09/2012,30/09/2012,30/09/2012,0.454,0,0,0.346,76.21,0.454,0.108,23/07/2012,09:40:53,285031
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2093,EHB - Loans - LDF,Develop loans disciplines funds allocation module.,16/02/2011,12/04/2011,12/04/2011,12/04/2011,0.93,0,0,0,0,0.93,0.93,26/04/2012,06:07:54,285032
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2094,EHB - Loans - L-AOR,Develop a post award enhancement to the formula module.,13/04/2011,28/06/2011,28/06/2011,28/06/2011,0.93,0,0,0,0,0.93,0.93,26/04/2012,06:07:54,285035
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2095,EHB - Loans - L-PCLA,Develop PCL Assessments module.,08/07/2011,20/09/2011,20/09/2011,20/09/2011,0.394,0,0,0,0,0.394,0.394,26/04/2012,06:07:54,285039
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2096,EHB - Nurse Faculty Loan Program - ACA Support in the Formula module,ACA Support in the Formula module.,14/02/2011,12/04/2011,12/04/2011,12/04/2011,1.2,0,0,0.394,32.83,1.2,0.806,26/04/2012,06:07:54,285041
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2097,EHB - Nurse Faculty Loan Program - ACA Support in the AOR module,ACA Support in the AOR module.,22/04/2011,28/06/2011,28/06/2011,28/06/2011,0.051,0,0,0,0,0.051,0.051,26/04/2012,06:07:54,285042
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2098,EHB - BPMS - Release FY 2011,Forms enhancements to grant performance reporting forms based on Program requirements changes.,10/12/2010,27/06/2011,27/06/2011,27/06/2011,0.253,0,0,0,0,0.253,0.253,22/05/2012,08:09:28,285043
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2099,EHB - BPMS - Standalone Modules,Enhancements to business process workflow based on Program requirements changes for performance reporting.,15/09/2010,06/09/2011,06/09/2011,06/09/2011,0.253,0,0,0,0,0.253,0.253,22/05/2012,08:09:28,285054
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2100,EHB - Loans and Scholarships 2012,This project will automate loan closeout functions.,30/03/2011,31/08/2012,31/08/2012,31/08/2012,0.575,0,0,-0.159,-27.65,0.575,0.734,23/07/2012,09:40:53,285060
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2101,EHB - BHPR Data Report,Integration of the Bureau of Health Profession's grant performance reporting functionality to the Core EHBs.,03/10/2011,31/05/2012,31/05/2012,18/06/2012,1.6,-92,-38.17,-0.265,-16.56,1.6,1.865,23/07/2012,09:40:53,285063
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2102,EHB - CHGME - Formula module (CHGME - PAS),"Integrate the CHGME PAS into the Core EHBs. The PAS has to allow for calculating payments and reporting capabilities, as well as, the capability and flexibility to expand input and output data, change formulas, import and export data, and generate monthly and ad hoc reports.",23/02/2011,16/08/2011,16/08/2011,16/08/2011,0.823,0,0,0,0,0.823,0.823,26/04/2012,06:07:54,285064
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2103,EHB - CHGME - Application module (CHGME - HAS),Integrate the Hospital Application System (HAS) into the Core EHBs. Hospitals apply using the web application system.  Staff review of the applications and requests for corrections are done through the use of the HAS; final results of the FTE resident assessments are also recorded on the application for funds under the appropriate columns by the fiscal intermediaries.,23/02/2011,30/06/2011,30/06/2011,31/08/2011,0.332,-62,-48.82,0,0,0.332,0.332,26/04/2012,06:07:54,285068
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2104,EHB - RDR - January 2011 Release (RDR 2010),Enhancements to data elements to performance reports based on Program requirements changes for grantee reporting.,15/09/2010,25/03/2011,25/03/2011,25/03/2011,0.037,0,0,0.032,86.49,0.037,0.005,26/04/2012,06:07:54,285081
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2105,EHB - RSR - January 2011 Release (RSR 2010),Enhancements to data elements to performance reports based on Program requirements changes for grantee reporting.,15/09/2010,03/01/2011,03/01/2011,03/01/2011,0.497,0,0,0.346,69.62,0.497,0.151,26/04/2012,06:07:54,285085
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2106,EHB - RSR - January 2012 Release (RSR 2011),Enhancements to data elements to performance reports based on Program requirements changes for grantee reporting.,15/09/2010,12/09/2011,12/09/2011,12/09/2011,0.628,0,0,0.547,87.1,0.628,0.081,26/04/2012,06:07:54,285086
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2107,EHB - ADAP JANUARY 2011 RELEASE,Enhancements to business process workflow based on Program requirements changes for performance reporting.,01/10/2010,03/01/2011,03/01/2011,03/01/2011,0.028,0,0,-0.001,-3.57,0.028,0.029,26/04/2012,06:07:54,285089
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2108,EHB - ADR - January 2012 Release,"While this is still in the planning stage, development of a grantee performance report that is able to store client-level data and match it to other HAB databases.",03/10/2011,31/01/2012,31/01/2012,03/02/2012,0.06,-3,-2.5,-0.024,-40,0.06,0.084,26/04/2012,06:07:55,285090
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2109,EHB - ADAP Client-level Phase I,Develop data model and data element strategies for upcoming client-level data collection reports for the ADAP program.,15/09/2010,12/09/2011,12/09/2011,14/09/2011,0.08,-2,-0.79,-0.007,-8.75,0.08,0.087,26/04/2012,06:07:55,285341
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2110,EHB - AETC Web Application FY 11 Release,Enhancements to business process workflow based on Program requirements changes for performance reporting.,15/09/2010,14/07/2011,14/07/2011,14/07/2011,0.079,0,0,0,0,0.079,0.079,26/04/2012,06:07:55,285343
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2111,EHB - DGIS Data Entry 2011,Enhancements to business process workflow based on Program requirements changes for performance reporting.,15/09/2010,14/09/2011,14/09/2011,14/09/2011,0.364,0,0,0.025,6.87,0.364,0.339,04/26/2012,06:07:55,285353
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2112,EHB - DGIS Data Entry 2012,"While this is still in the planning stage, enhancements to business process workflow based on Program requirements changes for performance reporting.",01/03/2012,01/09/2012,01/09/2012,28/09/2012,0.208,-27,-14.67,-0.121,-58.17,0.208,0.329,23/07/2012,09:40:53,285381
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2113,EHB - TVIS Web Reports 2011,Enhancements to Maternal and Child Health publicly released statistical data based on Program requirements changes.,15/09/2010,29/10/2010,29/10/2010,29/10/2010,0.066,0,0,0.009,13.64,0.066,0.057,26/04/2012,06:07:55,285401
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2114,EHB - TVIS Web Reports 2012,Enhancements to Maternal and Child Health publicly released statistical data based on Program requirements changes.,19/09/2011,31/10/2011,31/10/2011,30/11/2011,0.096,-30,-71.43,0.08,83.33,0.096,0.016,26/04/2012,06:07:55,285402
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2115,EHB - TVIS Data Entry 2012,"While this is still in the planning stage, enhancements to business process workflow based on Program requirements changes for performance reporting.",22/10/2010,31/03/2011,31/03/2011,31/03/2011,0.198,0,0,0.136,68.69,0.198,0.062,26/04/2012,06:07:55,285403
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2116,EHB - OHRP PIMS Data Collection 2011,Enhancements to business process workflow based on Program requirements changes for performance reporting.,27/09/2010,23/09/2011,23/09/2011,23/09/2011,0.147,0,0,-0.332,-225.85,0.147,0.479,26/04/2012,06:07:55,285423
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2117,EHB - OHRP PIMS Data Collection 2012,"While this is still in the planning stage, enhancements to business process workflow based on Program requirements changes for performance reporting.",27/10/2011,05/04/2012,05/04/2012,05/04/2012,0.126,0,0,0,0,0.126,0.126,22/05/2012,08:09:28,285429
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2118,EHB - ADAP JULY 2011 RELEASE,Enhancements to business process workflow based on Program requirements changes for performance reporting.,01/03/2011,01/07/2011,01/07/2011,01/07/2011,0.12,0,0,0,0,0.12,0.12,26/04/2012,06:07:55,285528
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2119,EHB - ADR - July 2012 Release,"This project represents requirements, design and development work to be done on the ADR.  This will include:  Completion of the project baseline review stage gate; completion of the initial requirements and delivery of draft and final requirements documents; design and development of the grantee forms; revision of the database design and ERD; continued integration with platform lite.",01/02/2012,15/06/2012,15/06/2012,15/06/2012,0.142,0,0,0,0,0.142,0.142,23/07/2012,09:40:53,285561
